type,nr_processes,grid_dim,matrix_size,solver,linear_system,time,iterations, precision, damping_parameter, step_size_h

parallel,2,11,100,damped-jacobi,five-point,0.018713,684,1e-11,1,0.0909091
parallel,2,11,100,gauss-seidel,five-point,0.00974334,0,1e-11,1,0.0909091
parallel,3,11,100,damped-jacobi,five-point,0.0143936,684,1e-11,1,0.0909091
parallel,3,11,100,gauss-seidel,five-point,0.0099042,0,1e-11,1,0.0909091
parallel,4,11,100,damped-jacobi,five-point,0.0135797,684,1e-11,1,0.0909091
parallel,4,11,100,gauss-seidel,five-point,0.0110714,0,1e-11,1,0.0909091
parallel,5,11,100,damped-jacobi,five-point,0.0164758,684,1e-11,1,0.0909091
parallel,5,11,100,gauss-seidel,five-point,0.00845786,0,1e-11,1,0.0909091
parallel,6,11,100,damped-jacobi,five-point,0.0146714,684,1e-11,1,0.0909091
parallel,6,11,100,gauss-seidel,five-point,0.0104459,0,1e-11,1,0.0909091
parallel,7,11,100,damped-jacobi,five-point,0.0171373,684,1e-11,1,0.0909091
parallel,7,11,100,gauss-seidel,five-point,0.010665,0,1e-11,1,0.0909091
parallel,8,11,100,damped-jacobi,five-point,0.0256062,684,1e-11,1,0.0909091
parallel,8,11,100,gauss-seidel,five-point,0.0147368,0,1e-11,1,0.0909091
parallel,9,11,100,damped-jacobi,five-point,0.016906,684,1e-11,1,0.0909091
parallel,9,11,100,gauss-seidel,five-point,0.0141572,0,1e-11,1,0.0909091
parallel,10,11,100,damped-jacobi,five-point,0.0158572,684,1e-11,1,0.0909091
parallel,10,11,100,gauss-seidel,five-point,0.0106221,0,1e-11,1,0.0909091
parallel,11,11,100,damped-jacobi,five-point,0.0135247,684,1e-11,1,0.0909091
parallel,11,11,100,gauss-seidel,five-point,0.0106539,0,1e-11,1,0.0909091
parallel,12,11,100,damped-jacobi,five-point,0.0204179,684,1e-11,1,0.0909091
parallel,12,11,100,gauss-seidel,five-point,0.0150629,0,1e-11,1,0.0909091
parallel,13,11,100,damped-jacobi,five-point,0.0199755,684,1e-11,1,0.0909091
parallel,13,11,100,gauss-seidel,five-point,0.0118031,0,1e-11,1,0.0909091

serial,1,11,100,damped-jacobi,five-point,0.0323153,685,1e-11,1,0.0909091
serial,1,11,100,gauss-seidel,five-point,0.0122424,345,1e-11,1,0.0909091
