type,nr_processes,grid_dim,matrix_size,solver,linear_system,time,iterations,precision,damping_parameter,step_size_h,SPEEDUP,EFFICENCY
serial,1,3,4,damped-jacobi,five-point,1.01E-05,41,1.00E-11,1,0.333333,,
serial,1,3,4,gauss-seidel,five-point,8.42E-06,22,1.00E-11,1,0.333333,,
serial,1,4,9,damped-jacobi,five-point,2.39E-05,82,1.00E-11,1,0.25,,
serial,1,4,9,gauss-seidel,five-point,2.01E-05,43,1.00E-11,1,0.25,,
serial,1,5,16,damped-jacobi,five-point,9.07E-05,134,1.00E-11,1,0.2,,
serial,1,5,16,gauss-seidel,five-point,5.47E-05,69,1.00E-11,1,0.2,,
serial,1,6,25,damped-jacobi,five-point,0.000279862,197,1.00E-11,1,0.166667,,
serial,1,6,25,gauss-seidel,five-point,0.000141365,101,1.00E-11,1,0.166667,,
serial,1,7,36,damped-jacobi,five-point,0.000791302,272,1.00E-11,1,0.142857,,
serial,1,7,36,gauss-seidel,five-point,0.000363204,138,1.00E-11,1,0.142857,,
serial,1,8,49,damped-jacobi,five-point,0.0022253,358,1.00E-11,1,0.125,,
serial,1,8,49,gauss-seidel,five-point,0.000875905,181,1.00E-11,1,0.125,,
serial,1,9,64,damped-jacobi,five-point,0.00485642,455,1.00E-11,1,0.111111,,
serial,1,9,64,gauss-seidel,five-point,0.00199759,230,1.00E-11,1,0.111111,,
serial,1,10,81,damped-jacobi,five-point,0.00964651,564,1.00E-11,1,0.1,,
serial,1,10,81,gauss-seidel,five-point,0.00380358,284,1.00E-11,1,0.1,,
serial,1,11,100,damped-jacobi,five-point,0.0162069,685,1.00E-11,1,0.0909091,,
serial,1,11,100,gauss-seidel,five-point,0.00729979,345,1.00E-11,1,0.0909091,,
serial,1,12,121,damped-jacobi,five-point,0.0273633,817,1.00E-11,1,0.0833333,,
serial,1,12,121,gauss-seidel,five-point,0.0101219,411,1.00E-11,1,0.0833333,,
serial,1,13,144,damped-jacobi,five-point,0.041371,960,1.00E-11,1,0.0769231,,
serial,1,13,144,gauss-seidel,five-point,0.0202238,482,1.00E-11,1,0.0769231,,
serial,1,14,169,damped-jacobi,five-point,0.0466394,1115,1.00E-11,1,0.0714286,,
serial,1,14,169,gauss-seidel,five-point,0.0318884,560,1.00E-11,1,0.0714286,,
serial,1,15,196,damped-jacobi,five-point,0.0898534,1282,1.00E-11,1,0.0666667,,
serial,1,15,196,gauss-seidel,five-point,0.0426405,643,1.00E-11,1,0.0666667,,
serial,1,16,225,damped-jacobi,five-point,0.113838,1459,1.00E-11,1,0.0625,,
serial,1,16,225,gauss-seidel,five-point,0.0576867,732,1.00E-11,1,0.0625,,
serial,1,17,256,damped-jacobi,five-point,0.185719,1649,1.00E-11,1,0.0588235,,
serial,1,17,256,gauss-seidel,five-point,0.0778211,827,1.00E-11,1,0.0588235,,
serial,1,18,289,damped-jacobi,five-point,0.263387,1850,1.00E-11,1,0.0555556,,
serial,1,18,289,gauss-seidel,five-point,0.0915061,927,1.00E-11,1,0.0555556,,
serial,1,19,324,damped-jacobi,five-point,0.350058,2062,1.00E-11,1,0.0526316,,
serial,1,19,324,gauss-seidel,five-point,0.129916,1033,1.00E-11,1,0.0526316,,
serial,1,20,361,damped-jacobi,five-point,0.501197,2286,1.00E-11,1,0.05,,
serial,1,20,361,gauss-seidel,five-point,0.197584,1145,1.00E-11,1,0.05,,
serial,1,21,400,damped-jacobi,five-point,0.679369,2521,1.00E-11,1,0.047619,,
serial,1,21,400,gauss-seidel,five-point,0.246979,1263,1.00E-11,1,0.047619,,
serial,1,22,441,damped-jacobi,five-point,0.90617,2768,1.00E-11,1,0.0454545,,
serial,1,22,441,gauss-seidel,five-point,0.347003,1386,1.00E-11,1,0.0454545,,
serial,1,23,484,damped-jacobi,five-point,1.19495,3026,1.00E-11,1,0.0434783,,
serial,1,23,484,gauss-seidel,five-point,0.455242,1515,1.00E-11,1,0.0434783,,
serial,1,24,529,damped-jacobi,five-point,1.55679,3295,1.00E-11,1,0.0416667,,
serial,1,24,529,gauss-seidel,five-point,0.590783,1650,1.00E-11,1,0.0416667,,
serial,1,25,576,damped-jacobi,five-point,2.01026,3576,1.00E-11,1,0.04,,
serial,1,25,576,gauss-seidel,five-point,0.760874,1790,1.00E-11,1,0.04,,
serial,1,26,625,damped-jacobi,five-point,2.56245,3869,1.00E-11,1,0.0384615,,
serial,1,26,625,gauss-seidel,five-point,0.969746,1937,1.00E-11,1,0.0384615,,
serial,1,27,676,damped-jacobi,five-point,3.2451,4173,1.00E-11,1,0.037037,,
